,商品ID,賣家ID,存貨數量,價格,折數,可否搭配購買,可否大量批貨購買,歷史銷售量,可否分期付款,是否官方賣家帳號,是否可預購,喜愛數量,商家地點,評價數量,五星,四星,三星,二星,一星,評分
0,1658631690,171979,2503,60,7.6,TRUE,FALSE,29169,TRUE,FALSE,FALSE,4504,雲林縣斗六市,7892,7426,350,91,15,11,4.921322691
1,647538838,32587376,14336,74,1.2,TRUE,FALSE,6926,TRUE,FALSE,TRUE,2562,臺南市歸仁區,2676,2473,132,30,8,10,4.903505466
2,21148437337,128404466,319,264,,FALSE,FALSE,1253,TRUE,FALSE,FALSE,741,彰化縣員林市,528,508,19,1,0,0,4.960227273
3,19327797116,42708762,14912,2338,,FALSE,FALSE,76,FALSE,FALSE,FALSE,98,苗栗縣竹南鎮,24,22,2,0,0,0,4.916666667
4,13318829150,128404466,1241,244,,FALSE,FALSE,2797,TRUE,FALSE,FALSE,950,彰化縣員林市,1053,1025,27,1,0,0,4.972459639
5,22708957312,464631,11802,177,5.5,FALSE,FALSE,2,FALSE,FALSE,TRUE,3,桃園市大園區,1,1,0,0,0,0,5
6,11397857387,778020444,19562,200,,FALSE,FALSE,21,FALSE,FALSE,TRUE,17,桃園市大園區,9,8,1,0,0,0,4.888888889
7,12021190176,3160208,111,71,,FALSE,FALSE,2366,TRUE,FALSE,FALSE,745,臺中市太平區,1056,1025,23,6,1,1,4.960227273
8,12247122898,512304075,8,79,,FALSE,FALSE,143,TRUE,FALSE,FALSE,24,新北市泰山區,60,57,3,0,0,0,4.95
9,19043150537,778020444,113197,91,,FALSE,FALSE,74,FALSE,FALSE,TRUE,42,桃園市大園區,19,18,1,0,0,0,4.947368421
10,1784072445,3160208,124,100,,FALSE,FALSE,1902,TRUE,FALSE,FALSE,438,臺中市太平區,957,936,15,4,1,1,4.968652038
11,23605911423,18786011,5092,113,5,FALSE,FALSE,0,FALSE,FALSE,FALSE,1,桃園市大園區,0,0,0,0,0,0,0
12,21154877254,6546803,1,352,4,FALSE,FALSE,7,FALSE,FALSE,TRUE,1,臺北市中正區,1,1,0,0,0,0,5
13,19862291672,778020444,1974,189,,FALSE,FALSE,25,FALSE,FALSE,TRUE,63,桃園市大園區,5,5,0,0,0,0,5
14,11570042806,2583098,553,114,,FALSE,FALSE,765,TRUE,FALSE,FALSE,211,臺中市西區,252,245,6,1,0,1,4.95256917
15,18537852751,778020444,11735,101,,FALSE,FALSE,126,FALSE,FALSE,TRUE,47,桃園市大園區,34,26,2,3,1,2,4.441176471
16,663884179,2833326,2558,115,6.4,FALSE,FALSE,1361,TRUE,FALSE,FALSE,655,臺中市太平區,599,538,44,10,2,5,4.849749583
17,20337857469,778020444,124381,101,,FALSE,FALSE,199,FALSE,FALSE,TRUE,88,桃園市大園區,42,38,3,0,0,1,4.833333333
18,15208356676,17195431,41,169,,FALSE,FALSE,334,FALSE,FALSE,FALSE,230,臺中市沙鹿區,162,153,7,2,0,0,4.932098765
19,12656554280,17195431,8,159,,FALSE,FALSE,58,FALSE,FALSE,FALSE,10,臺中市沙鹿區,20,20,0,0,0,0,5
20,17031129203,339715595,42531,35,3.5,FALSE,FALSE,1033,FALSE,FALSE,FALSE,60,中國大陸,166,163,1,2,0,0,4.969879518
21,23907186557,6235224,1,168,8.4,TRUE,FALSE,17,TRUE,FALSE,FALSE,9,新北市汐止區,9,9,0,0,0,0,5
22,20352152026,10119136,673,139,5.8,TRUE,FALSE,739,FALSE,FALSE,TRUE,1220,新北市土城區,189,166,13,6,0,4,4.783068783
23,20864158436,821283913,6795,164,,FALSE,FALSE,2,FALSE,FALSE,FALSE,8,新北市新莊區,1,1,0,0,0,0,5
24,16774050448,778020444,27711,215,,FALSE,FALSE,267,FALSE,FALSE,TRUE,171,桃園市大園區,82,74,3,2,1,2,4.780487805
25,123627442,2833326,2840,85,4,FALSE,FALSE,11885,TRUE,FALSE,FALSE,2181,臺中市太平區,4300,3987,171,38,8,11,4.925213675
26,20137859418,778020444,16984,105,,FALSE,FALSE,18,FALSE,FALSE,TRUE,13,桃園市大園區,4,3,1,0,0,0,4.75
27,15159381531,17195431,5,129,,FALSE,FALSE,48,FALSE,FALSE,FALSE,19,臺中市沙鹿區,17,17,0,0,0,0,5
28,17183096271,778020444,12798,115,,FALSE,FALSE,71,FALSE,FALSE,TRUE,32,桃園市大園區,16,13,3,0,0,0,4.8125
29,19043125666,778020444,206993,196,,FALSE,FALSE,27,FALSE,FALSE,TRUE,35,桃園市大園區,10,8,1,0,0,1,4.5
30,15914555731,585625691,8893,159,5,FALSE,FALSE,31,FALSE,FALSE,TRUE,32,高雄市苓雅區,15,13,1,0,0,1,4.666666667
31,19643148782,778020444,55182,216,,FALSE,FALSE,109,FALSE,FALSE,TRUE,133,桃園市大園區,32,27,0,4,1,0,4.65625
32,13040663814,28956574,11427,64,7,FALSE,FALSE,554,FALSE,FALSE,TRUE,157,中國大陸,228,216,9,3,0,0,4.934210526
33,20137857359,778020444,10787,131,,FALSE,FALSE,165,FALSE,FALSE,TRUE,70,桃園市大園區,27,22,2,1,1,1,4.592592593
34,19866831930,778020444,607,484,,FALSE,FALSE,2,FALSE,FALSE,TRUE,28,桃園市大園區,1,1,0,0,0,0,5
35,869221519,12325503,226,189,,FALSE,FALSE,2474,TRUE,FALSE,FALSE,1367,桃園市蘆竹區,1203,1130,58,10,4,0,4.925124792
36,6857217923,158058939,20456,82,4.5,FALSE,FALSE,664,FALSE,FALSE,TRUE,97,中國大陸,153,145,7,1,0,0,4.941176471
37,14002475331,512304075,52,79,,FALSE,FALSE,334,TRUE,FALSE,TRUE,102,新北市泰山區,134,126,8,0,0,0,4.940298507
38,112511712,12325503,141,149,4.5,FALSE,FALSE,2803,TRUE,FALSE,FALSE,1027,桃園市蘆竹區,1411,1316,43,13,0,3,4.941090909
39,14992266362,52092724,11948,169,6.5,FALSE,FALSE,21,FALSE,FALSE,FALSE,21,中國大陸,8,8,0,0,0,0,5
40,20852533064,57697690,51,129,1.9,FALSE,FALSE,36,TRUE,FALSE,FALSE,5,桃園市桃園區,15,15,0,0,0,0,5
