,存貨數量,價格,折數,可否搭配購買,可否大量批貨購買,歷史銷售量,可否分期付款,是否官方賣家帳號,是否可預購,喜愛數量,評價數量,五星,四星,三星,二星,一星,評分,產品銷售金額 
0,2503,60,7.6,TRUE,FALSE,29169,TRUE,FALSE,FALSE,4504,7892,7426,350,91,15,11,4.921322691,1750140
1,14336,74,1.2,TRUE,FALSE,6926,TRUE,FALSE,TRUE,2562,2676,2473,132,30,8,10,4.903505466,512524
2,319,264,0,FALSE,FALSE,1253,TRUE,FALSE,FALSE,741,528,508,19,1,0,0,4.960227273,330792
3,14912,2338,0,FALSE,FALSE,76,FALSE,FALSE,FALSE,98,24,22,2,0,0,0,4.916666667,177688
4,1241,244,0,FALSE,FALSE,2797,TRUE,FALSE,FALSE,950,1053,1025,27,1,0,0,4.972459639,682468
5,11802,177,5.5,FALSE,FALSE,2,FALSE,FALSE,TRUE,3,1,1,0,0,0,0,5,354
6,19562,200,0,FALSE,FALSE,21,FALSE,FALSE,TRUE,17,9,8,1,0,0,0,4.888888889,4200
7,111,71,0,FALSE,FALSE,2366,TRUE,FALSE,FALSE,745,1056,1025,23,6,1,1,4.960227273,167986
8,8,79,0,FALSE,FALSE,143,TRUE,FALSE,FALSE,24,60,57,3,0,0,0,4.95,11297
9,113197,91,0,FALSE,FALSE,74,FALSE,FALSE,TRUE,42,19,18,1,0,0,0,4.947368421,6734
10,124,100,0,FALSE,FALSE,1902,TRUE,FALSE,FALSE,438,957,936,15,4,1,1,4.968652038,190200
11,5092,113,5,FALSE,FALSE,0,FALSE,FALSE,FALSE,1,0,0,0,0,0,0,0,0
12,1,352,4,FALSE,FALSE,7,FALSE,FALSE,TRUE,1,1,1,0,0,0,0,5,2464
13,1974,189,0,FALSE,FALSE,25,FALSE,FALSE,TRUE,63,5,5,0,0,0,0,5,4725
14,553,114,0,FALSE,FALSE,765,TRUE,FALSE,FALSE,211,252,245,6,1,0,1,4.95256917,87210
15,11735,101,0,FALSE,FALSE,126,FALSE,FALSE,TRUE,47,34,26,2,3,1,2,4.441176471,12726
16,2558,115,6.4,FALSE,FALSE,1361,TRUE,FALSE,FALSE,655,599,538,44,10,2,5,4.849749583,156515
17,124381,101,0,FALSE,FALSE,199,FALSE,FALSE,TRUE,88,42,38,3,0,0,1,4.833333333,20099
18,41,169,0,FALSE,FALSE,334,FALSE,FALSE,FALSE,230,162,153,7,2,0,0,4.932098765,56446
19,8,159,0,FALSE,FALSE,58,FALSE,FALSE,FALSE,10,20,20,0,0,0,0,5,9222
20,42531,35,3.5,FALSE,FALSE,1033,FALSE,FALSE,FALSE,60,166,163,1,2,0,0,4.969879518,36155
21,1,168,8.4,TRUE,FALSE,17,TRUE,FALSE,FALSE,9,9,9,0,0,0,0,5,2856
22,673,139,5.8,TRUE,FALSE,739,FALSE,FALSE,TRUE,1220,189,166,13,6,0,4,4.783068783,102721
23,6795,164,0,FALSE,FALSE,2,FALSE,FALSE,FALSE,8,1,1,0,0,0,0,5,328
24,27711,215,0,FALSE,FALSE,267,FALSE,FALSE,TRUE,171,82,74,3,2,1,2,4.780487805,57405
25,2840,85,4,FALSE,FALSE,11885,TRUE,FALSE,FALSE,2181,4300,3987,171,38,8,11,4.925213675,1010225
26,16984,105,0,FALSE,FALSE,18,FALSE,FALSE,TRUE,13,4,3,1,0,0,0,4.75,1890
27,5,129,0,FALSE,FALSE,48,FALSE,FALSE,FALSE,19,17,17,0,0,0,0,5,6192
28,12798,115,0,FALSE,FALSE,71,FALSE,FALSE,TRUE,32,16,13,3,0,0,0,4.8125,8165
29,206993,196,0,FALSE,FALSE,27,FALSE,FALSE,TRUE,35,10,8,1,0,0,1,4.5,5292
30,8893,159,5,FALSE,FALSE,31,FALSE,FALSE,TRUE,32,15,13,1,0,0,1,4.666666667,4929
31,55182,216,0,FALSE,FALSE,109,FALSE,FALSE,TRUE,133,32,27,0,4,1,0,4.65625,23544
32,11427,64,7,FALSE,FALSE,554,FALSE,FALSE,TRUE,157,228,216,9,3,0,0,4.934210526,35456
33,10787,131,0,FALSE,FALSE,165,FALSE,FALSE,TRUE,70,27,22,2,1,1,1,4.592592593,21615
34,607,484,0,FALSE,FALSE,2,FALSE,FALSE,TRUE,28,1,1,0,0,0,0,5,968
35,226,189,0,FALSE,FALSE,2474,TRUE,FALSE,FALSE,1367,1203,1130,58,10,4,0,4.925124792,467586
36,20456,82,4.5,FALSE,FALSE,664,FALSE,FALSE,TRUE,97,153,145,7,1,0,0,4.941176471,54448
37,52,79,0,FALSE,FALSE,334,TRUE,FALSE,TRUE,102,134,126,8,0,0,0,4.940298507,26386
38,141,149,4.5,FALSE,FALSE,2803,TRUE,FALSE,FALSE,1027,1411,1316,43,13,0,3,4.941090909,417647
39,11948,169,6.5,FALSE,FALSE,21,FALSE,FALSE,FALSE,21,8,8,0,0,0,0,5,3549
40,51,129,1.9,FALSE,FALSE,36,TRUE,FALSE,FALSE,5,15,15,0,0,0,0,5,4644
41,45479,175,0,FALSE,FALSE,1,TRUE,FALSE,FALSE,4,1,1,0,0,0,0,5,175
42,14062,93,6.2,FALSE,FALSE,867,FALSE,FALSE,FALSE,595,276,257,15,4,0,0,4.916666667,80631
43,504,99,5.4,FALSE,FALSE,258,TRUE,FALSE,FALSE,192,92,89,1,2,0,0,4.945652174,25542
44,129,60,0,FALSE,FALSE,585,TRUE,FALSE,FALSE,137,256,244,7,4,0,1,4.941176471,35100
45,1451,511,0,FALSE,FALSE,1,FALSE,FALSE,TRUE,7,1,1,0,0,0,0,5,511
46,49,69,7,FALSE,FALSE,850,TRUE,FALSE,FALSE,238,353,346,6,0,0,1,4.971671388,58650
