V1,存貨數量,價格,折數,可否搭配購買,可否大量批貨購買,歷史銷售量,可否分期付款,是否官方賣家帳號,是否可預購,喜愛數量,評價數量,五星,四星,三星,二星,一星,評分,產品金額分類
0,2503,60,7.6,1,0,29169,1,0,0,4504,7892,7426,350,91,15,11,4.921322691,高
1,14336,74,1.2,1,0,6926,1,0,1,2562,2676,2473,132,30,8,10,4.903505466,高
2,319,264,0,0,0,1253,1,0,0,741,528,508,19,1,0,0,4.960227273,高
3,14912,2338,0,0,0,76,0,0,0,98,24,22,2,0,0,0,4.916666667,高
4,1241,244,0,0,0,2797,1,0,0,950,1053,1025,27,1,0,0,4.972459639,高
5,11802,177,5.5,0,0,2,0,0,1,3,1,1,0,0,0,0,5,低
6,19562,200,0,0,0,21,0,0,1,17,9,8,1,0,0,0,4.888888889,低
7,111,71,0,0,0,2366,1,0,0,745,1056,1025,23,6,1,1,4.960227273,高
8,8,79,0,0,0,143,1,0,0,24,60,57,3,0,0,0,4.95,低
9,113197,91,0,0,0,74,0,0,1,42,19,18,1,0,0,0,4.947368421,低
10,124,100,0,0,0,1902,1,0,0,438,957,936,15,4,1,1,4.968652038,高
11,5092,113,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,低
12,1,352,4,0,0,7,0,0,1,1,1,1,0,0,0,0,5,低
13,1974,189,0,0,0,25,0,0,1,63,5,5,0,0,0,0,5,低
14,553,114,0,0,0,765,1,0,0,211,252,245,6,1,0,1,4.95256917,高
15,11735,101,0,0,0,126,0,0,1,47,34,26,2,3,1,2,4.441176471,低
16,2558,115,6.4,0,0,1361,1,0,0,655,599,538,44,10,2,5,4.849749583,高
17,124381,101,0,0,0,199,0,0,1,88,42,38,3,0,0,1,4.833333333,高
18,41,169,0,0,0,334,0,0,0,230,162,153,7,2,0,0,4.932098765,高
19,8,159,0,0,0,58,0,0,0,10,20,20,0,0,0,0,5,低
20,42531,35,3.5,0,0,1033,0,0,0,60,166,163,1,2,0,0,4.969879518,高
21,1,168,8.4,1,0,17,1,0,0,9,9,9,0,0,0,0,5,低
22,673,139,5.8,1,0,739,0,0,1,1220,189,166,13,6,0,4,4.783068783,高
23,6795,164,0,0,0,2,0,0,0,8,1,1,0,0,0,0,5,低
24,27711,215,0,0,0,267,0,0,1,171,82,74,3,2,1,2,4.780487805,高
25,2840,85,4,0,0,11885,1,0,0,2181,4300,3987,171,38,8,11,4.925213675,高
26,16984,105,0,0,0,18,0,0,1,13,4,3,1,0,0,0,4.75,低
27,5,129,0,0,0,48,0,0,0,19,17,17,0,0,0,0,5,低
28,12798,115,0,0,0,71,0,0,1,32,16,13,3,0,0,0,4.8125,低
29,206993,196,0,0,0,27,0,0,1,35,10,8,1,0,0,1,4.5,低
30,8893,159,5,0,0,31,0,0,1,32,15,13,1,0,0,1,4.666666667,低
31,55182,216,0,0,0,109,0,0,1,133,32,27,0,4,1,0,4.65625,高
32,11427,64,7,0,0,554,0,0,1,157,228,216,9,3,0,0,4.934210526,高
33,10787,131,0,0,0,165,0,0,1,70,27,22,2,1,1,1,4.592592593,高
34,607,484,0,0,0,2,0,0,1,28,1,1,0,0,0,0,5,低
35,226,189,0,0,0,2474,1,0,0,1367,1203,1130,58,10,4,0,4.925124792,高
36,20456,82,4.5,0,0,664,0,0,1,97,153,145,7,1,0,0,4.941176471,高
37,52,79,0,0,0,334,1,0,1,102,134,126,8,0,0,0,4.940298507,高
38,141,149,4.5,0,0,2803,1,0,0,1027,1411,1316,43,13,0,3,4.941090909,高
39,11948,169,6.5,0,0,21,0,0,0,21,8,8,0,0,0,0,5,低
40,51,129,1.9,0,0,36,1,0,0,5,15,15,0,0,0,0,5,低
41,45479,175,0,0,0,1,1,0,0,4,1,1,0,0,0,0,5,低
42,14062,93,6.2,0,0,867,0,0,0,595,276,257,15,4,0,0,4.916666667,高
43,504,99,5.4,0,0,258,1,0,0,192,92,89,1,2,0,0,4.945652174,高
44,129,60,0,0,0,585,1,0,0,137,256,244,7,4,0,1,4.941176471,高
45,1451,511,0,0,0,1,0,0,1,7,1,1,0,0,0,0,5,低
46,49,69,7,0,0,850,1,0,0,238,353,346,6,0,0,1,4.971671388,高
47,23607,29,8.1,0,0,1133,0,0,1,143,270,254,9,4,1,2,4.896296296,高
48,6,250,0,0,0,54,0,0,0,40,32,30,2,0,0,0,4.9375,高
49,64,99,1.7,0,0,22,1,0,0,7,11,9,2,0,0,0,4.818181818,低
50,105,59,8.6,1,0,31,1,0,0,4,11,10,1,0,0,0,4.909090909,低
51,9706,56,0,0,0,88,0,0,1,29,29,28,1,0,0,0,4.965517241,低
52,7995,327,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,低
53,1788,432,0,0,0,89,0,0,1,60,28,25,2,1,0,0,4.857142857,高
54,9986,170,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,低
55,352,289,0,0,0,5574,1,0,0,1644,2241,2176,60,5,0,0,4.968763945,高
56,558,93,0,0,0,4468,1,0,0,1822,1279,1226,44,9,0,0,4.951524629,高
57,24035,215,0,0,0,7,0,0,0,28,3,3,0,0,0,0,5,低
58,12939,242,0,0,0,63,0,0,0,50,26,25,1,0,0,0,4.961538462,高
59,328,344,3.3,0,0,1585,1,0,1,1018,688,667,20,1,0,0,4.968023256,高
60,2503,60,7.6,1,0,29169,1,0,0,4504,7892,7426,350,91,15,11,4.921322691,高
61,14336,74,1.2,1,0,6926,1,0,1,2562,2676,2473,132,30,8,10,4.903505466,高
62,319,264,0,0,0,1253,1,0,0,741,528,508,19,1,0,0,4.960227273,高
63,14912,2338,0,0,0,76,0,0,0,98,24,22,2,0,0,0,4.916666667,高
64,1241,244,0,0,0,2797,1,0,0,950,1053,1025,27,1,0,0,4.972459639,高
65,11802,177,5.5,0,0,2,0,0,1,3,1,1,0,0,0,0,5,低
66,19562,200,0,0,0,21,0,0,1,17,9,8,1,0,0,0,4.888888889,低
67,111,71,0,0,0,2366,1,0,0,745,1056,1025,23,6,1,1,4.960227273,高
68,8,79,0,0,0,143,1,0,0,24,60,57,3,0,0,0,4.95,低
69,113197,91,0,0,0,74,0,0,1,42,19,18,1,0,0,0,4.947368421,低
70,124,100,0,0,0,1902,1,0,0,438,957,936,15,4,1,1,4.968652038,高
71,5092,113,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,低
72,1,352,4,0,0,7,0,0,1,1,1,1,0,0,0,0,5,低
73,1974,189,0,0,0,25,0,0,1,63,5,5,0,0,0,0,5,低
74,553,114,0,0,0,765,1,0,0,211,252,245,6,1,0,1,4.95256917,高
75,11735,101,0,0,0,126,0,0,1,47,34,26,2,3,1,2,4.441176471,低
76,2558,115,6.4,0,0,1361,1,0,0,655,599,538,44,10,2,5,4.849749583,高
77,124381,101,0,0,0,199,0,0,1,88,42,38,3,0,0,1,4.833333333,高
78,41,169,0,0,0,334,0,0,0,230,162,153,7,2,0,0,4.932098765,高
79,8,159,0,0,0,58,0,0,0,10,20,20,0,0,0,0,5,低
80,42531,35,3.5,0,0,1033,0,0,0,60,166,163,1,2,0,0,4.969879518,高
81,1,168,8.4,1,0,17,1,0,0,9,9,9,0,0,0,0,5,低
82,673,139,5.8,1,0,739,0,0,1,1220,189,166,13,6,0,4,4.783068783,高
83,6795,164,0,0,0,2,0,0,0,8,1,1,0,0,0,0,5,低
84,27711,215,0,0,0,267,0,0,1,171,82,74,3,2,1,2,4.780487805,高
85,2840,85,4,0,0,11885,1,0,0,2181,4300,3987,171,38,8,11,4.925213675,高
86,16984,105,0,0,0,18,0,0,1,13,4,3,1,0,0,0,4.75,低
87,5,129,0,0,0,48,0,0,0,19,17,17,0,0,0,0,5,低
88,12798,115,0,0,0,71,0,0,1,32,16,13,3,0,0,0,4.8125,低
89,206993,196,0,0,0,27,0,0,1,35,10,8,1,0,0,1,4.5,低
90,8893,159,5,0,0,31,0,0,1,32,15,13,1,0,0,1,4.666666667,低
91,55182,216,0,0,0,109,0,0,1,133,32,27,0,4,1,0,4.65625,高
92,11427,64,7,0,0,554,0,0,1,157,228,216,9,3,0,0,4.934210526,高
93,10787,131,0,0,0,165,0,0,1,70,27,22,2,1,1,1,4.592592593,高
94,607,484,0,0,0,2,0,0,1,28,1,1,0,0,0,0,5,低
95,226,189,0,0,0,2474,1,0,0,1367,1203,1130,58,10,4,0,4.925124792,高
96,20456,82,4.5,0,0,664,0,0,1,97,153,145,7,1,0,0,4.941176471,高
97,52,79,0,0,0,334,1,0,1,102,134,126,8,0,0,0,4.940298507,高
98,141,149,4.5,0,0,2803,1,0,0,1027,1411,1316,43,13,0,3,4.941090909,高
99,11948,169,6.5,0,0,21,0,0,0,21,8,8,0,0,0,0,5,低
100,51,129,1.9,0,0,36,1,0,0,5,15,15,0,0,0,0,5,低
101,45479,175,0,0,0,1,1,0,0,4,1,1,0,0,0,0,5,低
102,14062,93,6.2,0,0,867,0,0,0,595,276,257,15,4,0,0,4.916666667,高
103,504,99,5.4,0,0,258,1,0,0,192,92,89,1,2,0,0,4.945652174,高
104,129,60,0,0,0,585,1,0,0,137,256,244,7,4,0,1,4.941176471,高
105,1451,511,0,0,0,1,0,0,1,7,1,1,0,0,0,0,5,低
106,49,69,7,0,0,850,1,0,0,238,353,346,6,0,0,1,4.971671388,高
107,23607,29,8.1,0,0,1133,0,0,1,143,270,254,9,4,1,2,4.896296296,高
108,6,250,0,0,0,54,0,0,0,40,32,30,2,0,0,0,4.9375,高
109,64,99,1.7,0,0,22,1,0,0,7,11,9,2,0,0,0,4.818181818,低
110,105,59,8.6,1,0,31,1,0,0,4,11,10,1,0,0,0,4.909090909,低
111,9706,56,0,0,0,88,0,0,1,29,29,28,1,0,0,0,4.965517241,低
112,7995,327,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,低
113,1788,432,0,0,0,89,0,0,1,60,28,25,2,1,0,0,4.857142857,高
114,9986,170,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,低
115,352,289,0,0,0,5574,1,0,0,1644,2241,2176,60,5,0,0,4.968763945,高
116,558,93,0,0,0,4468,1,0,0,1822,1279,1226,44,9,0,0,4.951524629,高
117,24035,215,0,0,0,7,0,0,0,28,3,3,0,0,0,0,5,低
118,12939,242,0,0,0,63,0,0,0,50,26,25,1,0,0,0,4.961538462,高
119,328,344,3.3,0,0,1585,1,0,1,1018,688,667,20,1,0,0,4.968023256,高
120,5422,212,0,0,0,255,0,0,0,143,112,105,6,1,0,0,4.928571429,高
121,57,98,5.5,0,0,110,1,0,0,26,29,27,1,1,0,0,4.896551724,低
122,24035,215,0,0,0,7,0,0,0,28,3,3,0,0,0,0,5,低
123,7523,324,0,0,0,1,0,0,0,23,1,0,1,0,0,0,4,低
124,29997,204,6.7,0,0,941,0,0,1,451,376,335,25,12,1,3,4.829787234,高
125,7783,64,4.9,0,0,847,0,0,1,663,277,248,11,9,5,4,4.803636364,高
126,1438,185,0,0,0,47,0,0,0,35,15,12,1,2,0,0,4.666666667,低
127,577,82,5.4,0,0,98,1,1,0,82,35,33,1,1,0,0,4.914285714,低
128,8,89,0,0,0,36,1,0,0,4,13,13,0,0,0,0,5,低
129,117,299,0,0,0,2,0,0,1,4,1,1,0,0,0,0,5,低
130,1135,77,0,0,0,61,0,0,0,63,26,25,1,0,0,0,4.961538462,低
131,17,249,0,0,0,13,0,0,0,6,6,6,0,0,0,0,5,低
132,220,87,5.7,0,0,276,1,0,0,99,106,102,3,1,0,0,4.952830189,高
133,105,149,0,0,0,2362,1,0,0,970,779,746,23,9,0,1,4.942233633,高
134,219,93,0,0,0,14,0,0,0,22,5,5,0,0,0,0,5,低
135,60,99,0,0,0,308,1,0,1,98,97,92,4,1,0,0,4.93814433,高
136,20941,169,0,0,0,6,0,0,0,15,6,6,0,0,0,0,5,低
137,39064,423,0,0,0,30,0,0,1,44,13,12,0,0,0,1,4.692307692,低
138,18441,149,0,0,0,2,0,0,0,9,1,0,1,0,0,0,4,低
139,59,66,5.1,0,0,272,1,0,0,57,67,63,4,0,0,0,4.940298507,高
140,1088,133,0,1,0,4,1,0,1,4,3,3,0,0,0,0,5,低
141,1438,198,6.5,0,0,13,1,1,1,25,7,6,1,0,0,0,4.857142857,低
142,5758,176,5.5,0,0,20,0,0,0,17,9,9,0,0,0,0,5,低
143,12481,197,0,0,0,39,0,0,1,43,12,9,2,0,1,0,4.583333333,低
144,58,139,5.3,0,0,25,1,0,0,6,10,8,1,0,1,0,4.6,低
145,7759,97,6.3,0,0,199,1,1,0,260,70,64,5,0,0,1,4.871428571,高
146,29767,89,7,0,0,764,0,0,1,346,298,274,16,6,1,1,4.882550336,高
147,2143,58,0,0,0,10779,1,0,0,1749,3876,3648,169,44,6,10,4.918751612,高
148,156,608,0,0,0,1,0,0,1,8,0,0,0,0,0,0,0,低
149,65,110,3.9,0,0,181,1,0,0,54,99,86,9,2,2,0,4.808080808,高
150,3689,99,5.2,0,0,193,0,0,0,102,76,65,5,4,1,1,4.736842105,高
151,11149,108,6.5,0,0,13,1,1,0,10,3,3,0,0,0,0,5,低
152,5422,212,0,0,0,255,0,0,0,143,112,105,6,1,0,0,4.928571429,高
153,12451,47,0,0,0,187,0,0,1,89,63,61,1,1,0,0,4.952380952,低
154,49383,98,6.5,0,0,245,1,1,0,249,91,84,3,2,0,2,4.835164835,高
155,6252,62,3.2,0,0,447,0,0,0,211,167,160,4,3,0,0,4.94011976,高
156,105,323,5.8,0,0,1650,1,0,0,1087,768,743,14,9,1,1,4.94921875,高
157,6,89,0,0,0,109,1,0,1,88,48,46,2,0,0,0,4.958333333,低
158,58,139,5.3,0,0,185,1,0,0,106,66,63,3,0,0,0,4.954545455,高
159,53,155,4.8,0,0,2082,1,0,0,756,1011,951,48,10,0,2,4.924752475,高
160,25,300,0,0,0,117,0,0,0,112,63,63,0,0,0,0,5,高
161,1009,179,8,1,0,161,0,0,0,147,71,67,2,1,0,1,4.887323944,高
162,9791,88,7.2,0,0,36,0,0,1,37,10,10,0,0,0,0,5,低
163,415,195,0,0,0,13,0,0,1,51,7,7,0,0,0,0,5,低
164,1924,141,5,0,0,141,0,0,1,85,47,42,3,2,0,0,4.85106383,高
165,5075,140,0,0,0,4080,0,0,1,828,1110,1098,11,1,0,0,4.988288288,高
166,178,230,0,0,0,1198,0,0,1,432,566,557,9,0,0,0,4.98409894,高
167,8434,199,0,0,0,58,0,0,0,110,24,20,4,0,0,0,4.833333333,低
168,74994,18,4.2,0,0,6191,0,0,0,618,1278,1191,60,21,3,3,4.903680501,高
169,4954,168,6.5,0,0,10,0,0,0,22,1,1,0,0,0,0,5,低
170,1874,70,2,0,0,163,0,0,1,58,28,26,2,0,0,0,4.928571429,低
171,93761,128,0,0,0,27,0,0,1,42,9,7,2,0,0,0,4.777777778,低
172,5347,550,0,0,0,1,0,0,1,4,0,0,0,0,0,0,0,低
173,10238,152,6.5,0,0,1021,0,0,0,993,311,281,15,12,1,2,4.839228296,高
174,158,270,0,0,0,755,0,0,0,426,349,340,6,3,0,0,4.965616046,高
175,9895,279,0,0,0,183,0,0,0,409,77,70,3,2,0,2,4.805194805,高
176,74,390,0,0,0,159,1,0,0,209,76,74,2,0,0,0,4.973684211,高
177,71,78,3.7,0,0,6,0,0,0,5,4,4,0,0,0,0,5,低
178,294,525,0,0,0,893,1,0,1,685,456,431,12,3,0,2,4.941964286,高
179,4911,209,5.6,0,0,55,0,0,0,140,31,29,2,0,0,0,4.935483871,低
180,13,359,0,0,0,213,1,0,0,271,114,112,2,0,0,0,4.98245614,高
181,105,59,8.6,1,0,31,1,0,0,4,11,10,1,0,0,0,4.909090909,低
182,41897,69,0,0,1,6,0,0,0,11,1,1,0,0,0,0,5,低
183,29997,204,6.7,0,0,942,0,0,1,452,377,336,25,12,1,3,4.830238727,高
184,556,68,4.5,0,0,9150,1,0,0,1427,3574,3334,161,33,5,8,4.922003985,高
185,4,85,4.8,1,0,65,1,0,0,4,27,25,2,0,0,0,4.925925926,低
186,8360,257,6,0,0,55,0,0,1,32,20,19,0,1,0,0,4.9,高
187,4,169,5.8,0,0,1034,0,0,0,224,476,460,15,1,0,0,4.964285714,高
188,7,159,0,0,0,58,0,0,0,10,20,20,0,0,0,0,5,低
189,2672,79,0,0,0,36,0,0,0,31,12,11,1,0,0,0,4.916666667,低
190,210,189,0,0,0,12,1,0,0,21,7,6,1,0,0,0,4.857142857,低
191,8,79,0,0,0,143,1,0,0,24,60,57,3,0,0,0,4.95,低
192,10,144,8.2,0,0,832,1,0,0,204,324,314,7,2,1,0,4.956790123,高
193,16,72,4.6,0,0,106,1,0,0,22,40,36,4,0,0,0,4.9,低
194,25943,102,0,0,0,19,0,0,0,60,7,6,0,1,0,0,4.714285714,低
195,8129,239,0,0,0,2358,0,0,0,515,994,951,33,4,2,4,4.936619718,高
196,998,299,0,0,0,202,0,0,0,66,81,79,2,0,0,0,4.975308642,高
197,26,199,5,0,0,2102,1,0,0,915,947,909,27,10,1,0,4.94720169,高
198,314,264,0,0,0,1259,1,0,0,742,530,510,19,1,0,0,4.960377358,高
199,2040,215,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,低
200,2626,93,0,0,0,19,0,0,0,13,3,3,0,0,0,0,5,低
201,5,215,0,0,0,190,0,0,0,126,60,57,2,0,0,1,4.9,高
202,57,139,5.3,0,0,28,1,0,0,6,10,8,1,0,1,0,4.6,低
203,2746,249,0,0,0,29,0,0,0,14,8,8,0,0,0,0,5,低
204,1343,209,7.2,0,0,3,0,0,1,4,1,1,0,0,0,0,5,低
205,20940,169,0,0,0,6,0,0,0,15,6,6,0,0,0,0,5,低
206,11149,108,6.5,0,0,13,1,1,0,10,3,3,0,0,0,0,5,低
207,106,190,0,0,0,13,0,0,0,19,7,7,0,0,0,0,5,低
208,20,281,5,0,0,753,1,0,0,301,338,324,13,1,0,0,4.955621302,高
209,20,143,7.6,0,0,54,0,0,0,13,23,22,0,0,0,1,4.826086957,低
210,17,280,6,0,0,243,1,0,0,227,96,95,1,0,0,0,4.989583333,高
211,28,364,0,0,0,89,1,0,0,96,41,39,2,0,0,0,4.951219512,高
212,30189,197,3.4,0,0,997,0,0,0,865,293,271,14,6,1,1,4.887372014,高
213,387,240,0,1,0,1803,0,0,0,1264,860,833,20,8,0,0,4.958188153,高
214,167,59,5.4,1,0,1513,1,0,0,180,372,349,18,2,1,2,4.911290323,高
215,294,149,0,0,0,21,1,0,0,4,10,10,0,0,0,0,5,低
216,2,192,4.8,0,0,44,1,0,0,41,26,26,0,0,0,0,5,低
